Round,Accuracy
1,13.55
2,38.22
3,58.07
4,63.32
5,65.87
6,66.53
7,68.19
8,68.25
9,68.9
10,68.77
11,69.29
12,69.45
13,69.07
14,69.61
15,69.72
16,69.81
17,69.73
18,70.21
19,70.42
20,70.25
21,70.62
22,70.79
23,70.45
24,70.31
25,70.93
26,70.71
27,70.88
28,70.72
29,70.83
30,71.46
31,70.85
32,71.5
33,70.72
34,71.47
35,71.02
36,71.12
37,70.95
38,71.53
39,71.43
40,71.08
41,71.19
42,71.86
43,71.57
44,71.57
45,71.83
46,71.25
47,71.79
48,71.61
49,71.61
50,71.22
