Round,Accuracy
1,11.89
2,28.68
3,40.77
4,51.58
5,48.79
6,56.66
7,53.08
8,58.73
9,54.0
10,60.68
11,56.8
12,60.02
13,61.5
14,59.14
15,60.35
16,61.7
17,60.19
18,61.74
19,62.3
20,62.18
21,62.97
22,61.51
23,62.99
24,62.29
25,63.12
26,62.69
27,63.37
28,59.98
29,63.66
30,63.38
31,62.46
32,63.42
33,60.34
34,64.54
35,62.89
36,64.62
37,63.99
38,63.31
39,62.79
40,64.13
41,64.22
42,63.45
43,63.84
44,63.71
45,63.45
46,64.23
47,62.24
48,62.62
49,64.38
50,65.33
