Round,Accuracy
1,1.69
2,10.98
3,18.29
4,22.09
5,24.67
6,26.58
7,27.71
8,27.5
9,28.11
10,28.95
11,29.23
12,28.68
13,29.61
14,29.55
15,28.81
16,29.41
17,29.73
18,30.24
19,30.43
20,30.57
21,30.5
22,30.36
23,30.84
24,31.26
25,31.01
26,31.47
27,31.49
28,31.18
29,30.83
30,30.9
31,31.73
32,31.51
33,31.12
34,31.58
35,31.45
36,31.68
37,32.07
38,31.48
39,31.83
40,31.8
41,31.75
42,31.91
43,32.43
44,32.18
45,32.22
46,32.53
47,32.34
48,32.78
49,32.55
50,31.92
