Round,Average_Accuracy,Client1,Client2
1,60.625,60.49,60.760000000000005
2,64.14500000000001,65.22,63.07000000000001
3,65.86000000000001,66.32000000000001,65.4
4,66.91,67.32000000000001,66.5
5,68.065,68.4,67.73
6,67.955,68.55,67.36
7,67.88,67.97,67.78999999999999
8,67.64,67.75,67.53
9,68.73499999999999,68.58999999999999,68.88
10,69.265,69.65,68.88
11,69.42,69.95,68.89
12,69.08500000000001,69.16,69.01
13,68.74000000000001,68.84,68.64
14,69.585,69.88,69.28999999999999
15,69.14,69.33,68.95
16,69.825,70.14,69.51
17,70.045,70.35,69.74000000000001
18,70.07499999999999,70.25,69.89999999999999
19,70.41499999999999,70.61,70.22
20,70.565,70.84,70.28999999999999
21,69.47,69.93,69.01
22,70.42,70.58,70.26
23,70.66499999999999,70.62,70.71
24,70.625,70.75,70.5
25,70.695,70.95,70.44
