Round,Average_Accuracy,Client1,Client2
1,45.55500000000001,43.85,47.260000000000005
2,47.39,46.23,48.55
3,49.11,47.47,50.74999999999999
4,49.599999999999994,48.15,51.05
5,49.08,47.370000000000005,50.79
6,50.215,48.51,51.92
7,50.504999999999995,49.3,51.71
8,50.084999999999994,49.519999999999996,50.64999999999999
9,50.235,49.04,51.43
10,50.51,48.89,52.129999999999995
11,51.67,49.730000000000004,53.61
12,51.2,49.97,52.43
13,50.67,49.79,51.55
14,52.03,51.129999999999995,52.93
15,52.57,50.41,54.730000000000004
16,51.495000000000005,50.81,52.18000000000001
17,52.394999999999996,50.349999999999994,54.44
18,52.364999999999995,51.559999999999995,53.169999999999995
19,52.185,50.9,53.47
20,51.0,49.75,52.25
21,52.005,50.61,53.400000000000006
22,53.505,51.61,55.400000000000006
23,53.235,51.29,55.17999999999999
24,52.25,50.24999999999999,54.25
25,52.84,51.580000000000005,54.1
