Round,Average_Accuracy,Client1,Client2
1,36.155,34.410000000000004,37.9
2,36.14,34.71,37.57
3,34.915000000000006,33.800000000000004,36.03
4,36.19500000000001,34.910000000000004,37.480000000000004
5,35.33,34.73,35.93
6,34.64,29.82,39.46
7,35.53,33.660000000000004,37.4
8,33.925,34.47,33.379999999999995
9,36.485,36.47,36.5
10,35.004999999999995,32.39,37.62
11,35.11,35.6,34.62
12,35.185,36.24,34.13
13,36.43,36.04,36.82
14,37.05,36.36,37.74
15,36.599999999999994,35.94,37.26
16,36.28,36.55,36.01
17,35.98,33.33,38.629999999999995
18,35.870000000000005,35.97,35.77
19,36.975,35.06,38.89
20,36.650000000000006,35.49,37.81
21,34.510000000000005,33.56,35.46
22,37.97,36.58,39.36
23,37.78,37.01,38.550000000000004
24,37.09,35.61,38.57
25,36.209999999999994,36.26,36.16
