Round,Accuracy
1,18.15
2,55.36
3,62.84
4,66.46
5,67.8
6,67.76
7,68.12
8,68.4
9,68.13
10,69.49
11,67.91
12,69.01
13,69.72
14,70.1
15,69.76
16,69.84
17,69.97
18,70.57
19,70.0
20,70.3
21,70.32
22,70.26
23,70.41
24,70.59
25,71.03
26,70.72
27,70.81
28,70.56
29,70.56
30,71.12
31,70.62
32,70.49
33,70.77
34,70.71
35,71.24
36,71.41
37,71.13
38,71.17
39,71.64
40,71.35
41,71.49
42,71.13
43,71.12
44,71.78
45,72.1
46,71.13
47,71.27
48,71.46
49,71.8
50,71.59
