Round,Accuracy
1,17.77
2,29.85
3,37.05
4,37.02
5,41.41
6,38.13
7,40.47
8,40.16
9,38.99
10,41.14
11,40.11
12,42.84
13,39.69
14,43.13
15,43.36
16,42.15
17,44.57
18,44.45
19,44.66
20,46.55
21,44.28
22,46.89
23,45.6
24,46.26
25,46.24
26,48.65
27,51.13
28,48.31
29,48.26
30,48.51
31,47.63
32,49.59
33,51.46
34,52.74
35,50.15
36,50.93
37,52.41
38,53.04
39,51.62
40,52.03
41,49.03
42,52.49
43,53.52
44,51.96
45,50.6
46,48.69
47,51.86
48,52.84
49,51.73
50,55.13
