Round,Accuracy
1,18.13
2,38.52
3,45.0
4,50.27
5,49.46
6,52.18
7,52.82
8,51.77
9,53.64
10,51.34
11,54.25
12,52.58
13,53.1
14,51.72
15,52.22
16,53.96
17,56.45
18,55.38
19,53.19
20,56.32
21,57.76
22,56.44
23,56.11
24,59.04
25,55.54
26,60.18
27,54.6
28,56.73
29,57.32
30,58.06
31,59.41
32,58.8
33,58.97
34,58.36
35,60.28
36,61.44
37,59.79
38,59.71
39,60.54
40,60.45
41,61.94
42,60.5
43,59.76
44,60.4
45,61.57
46,61.78
47,60.09
48,61.08
49,60.57
50,61.55
