Round,Accuracy
1,16.86
2,34.49
3,42.06
4,44.4
5,44.63
6,47.21
7,48.77
8,47.98
9,49.64
10,47.37
11,49.05
12,50.02
13,47.65
14,50.4
15,51.62
16,51.29
17,49.34
18,46.57
19,50.76
20,50.04
21,53.35
22,51.8
23,52.84
24,54.27
25,54.49
26,53.51
27,53.89
28,54.14
29,53.77
30,54.7
31,55.35
32,56.6
33,54.99
34,56.29
35,56.63
36,55.99
37,53.35
38,55.0
39,54.26
40,56.68
41,56.01
42,55.66
43,54.86
44,56.46
45,58.35
46,56.27
47,56.59
48,57.68
49,56.59
50,59.57
