Round,Accuracy
1,21.96
2,49.89
3,55.71
4,58.44
5,59.95
6,61.98
7,60.31
8,62.41
9,62.6
10,62.87
11,63.31
12,63.21
13,64.4
14,64.02
15,64.3
16,64.51
17,64.14
18,64.95
19,64.07
20,64.21
21,64.04
22,64.56
23,64.46
24,64.08
25,64.79
26,64.34
27,65.17
28,65.01
29,64.5
30,64.61
31,64.66
32,64.64
33,65.15
34,64.7
35,65.24
36,64.98
37,64.79
38,65.24
39,65.33
40,65.89
41,66.02
42,65.08
43,65.71
44,66.82
45,65.23
46,65.37
47,66.28
48,65.68
49,66.06
50,66.5
