Round,Accuracy
1,20.64
2,52.32
3,56.12
4,61.62
5,64.41
6,65.76
7,67.36
8,67.53
9,68.21
10,68.11
11,68.59
12,68.55
13,68.98
14,69.1
15,69.09
16,69.34
17,69.92
18,69.84
19,70.36
20,70.05
21,70.67
22,70.4
23,70.58
24,70.22
25,69.4
26,70.27
27,70.25
28,70.36
29,70.08
30,70.55
31,70.35
32,71.41
33,71.16
34,70.94
35,72.02
36,71.34
37,71.72
38,71.17
39,71.31
40,71.37
41,71.43
42,70.96
43,71.93
44,71.63
45,71.58
46,72.01
47,71.19
48,71.62
49,71.99
50,71.93
