Round,Accuracy
1,16.94
2,41.47
3,52.27
4,58.56
5,61.24
6,62.01
7,61.85
8,61.55
9,62.92
10,61.57
11,63.52
12,62.91
13,65.03
14,62.91
15,64.66
16,64.19
17,64.13
18,64.68
19,63.61
20,64.24
21,65.44
22,64.47
23,64.76
24,65.42
25,65.5
26,65.45
27,65.37
28,64.73
29,66.91
30,65.49
31,65.37
32,66.69
33,67.01
34,65.96
35,66.54
36,66.95
37,66.67
38,66.62
39,65.87
40,66.75
41,67.09
42,66.11
43,66.98
44,66.69
45,67.57
46,67.02
47,66.36
48,66.22
49,67.77
50,67.03
51,66.6
52,67.01
53,67.18
54,67.24
55,67.37
56,67.32
57,67.17
58,67.05
59,67.88
60,67.98
61,68.0
62,67.83
63,67.84
64,68.41
65,67.52
66,67.22
67,68.56
68,68.08
69,68.3
70,68.58
71,68.46
72,67.79
73,69.05
74,69.13
75,68.5
76,68.33
77,69.16
78,69.09
79,69.25
80,68.69
81,68.75
82,68.84
83,68.41
84,68.5
85,69.37
86,68.66
87,69.45
88,69.22
89,69.6
90,68.96
91,69.02
92,69.45
93,69.72
94,70.18
95,70.06
96,69.16
97,68.86
98,69.14
99,69.47
100,69.68
