Round,Accuracy
1,18.12
2,44.03
3,52.86
4,57.69
5,59.3
6,60.74
7,62.54
8,63.87
9,63.22
10,62.95
11,64.35
12,64.63
13,64.09
14,64.3
15,64.03
16,64.74
17,65.72
18,65.0
19,65.87
20,65.35
21,66.07
22,65.86
23,66.72
24,65.99
25,67.12
26,66.41
27,67.29
28,66.95
29,66.98
30,67.44
31,66.18
32,66.26
33,67.06
34,66.26
35,67.18
36,66.45
37,67.29
38,66.83
39,66.69
40,66.42
41,67.12
42,65.63
43,67.75
44,67.69
45,67.57
46,67.33
47,67.03
48,66.63
49,68.37
50,67.14
