Round,Accuracy
1,23.91
2,45.91
3,55.06
4,60.17
5,62.85
6,63.19
7,65.88
8,64.57
9,64.84
10,65.35
11,64.8
12,65.12
13,66.28
14,65.73
15,66.9
16,66.53
17,67.13
18,68.25
19,67.53
20,67.74
21,67.06
22,67.87
23,67.64
24,67.23
25,67.28
26,68.15
27,66.71
28,67.69
29,68.05
30,67.84
31,67.61
32,68.38
33,67.5
34,68.55
35,67.96
36,67.97
37,68.22
38,68.1
39,69.19
40,68.54
41,68.74
42,68.28
43,68.52
44,69.14
45,69.54
46,68.48
47,69.55
48,69.25
49,69.17
50,69.31
51,69.45
52,69.74
53,69.69
54,69.38
55,69.14
56,69.68
57,69.81
58,69.6
59,69.24
60,69.42
61,69.76
62,69.28
63,69.34
64,69.45
65,69.95
66,69.97
67,69.66
68,69.63
69,70.48
70,68.9
71,69.6
72,70.09
73,69.93
74,69.61
75,69.88
76,70.36
77,70.71
78,69.79
79,70.06
80,68.52
81,70.58
82,70.23
83,70.66
84,71.31
85,70.47
86,71.05
87,70.51
88,71.69
89,71.46
90,70.41
91,70.96
92,70.8
93,71.22
94,70.87
95,71.57
96,71.43
97,71.11
98,71.38
99,71.4
100,71.61
