Round,Accuracy
1,17.77
2,32.89
3,37.62
4,43.32
5,39.89
6,42.27
7,42.9
8,45.94
9,48.92
10,46.86
11,50.0
12,50.1
13,49.99
14,48.78
15,50.92
16,50.52
17,50.24
18,51.31
19,44.87
20,50.03
21,51.98
22,52.58
23,48.74
24,50.13
25,52.52
26,47.47
27,52.07
28,50.17
29,50.09
30,52.21
31,54.57
32,49.88
33,49.67
34,53.52
35,51.29
36,50.28
37,51.31
38,51.95
39,50.73
40,51.91
41,53.43
42,54.16
43,54.17
44,51.63
45,54.39
46,53.23
47,54.98
48,55.99
49,52.03
50,52.45
51,57.33
52,54.97
53,56.87
54,55.78
55,55.56
56,55.93
57,58.11
58,58.61
59,57.18
60,57.3
61,57.07
62,57.41
63,61.38
64,52.01
65,52.27
66,56.1
67,54.45
68,57.16
69,58.75
70,56.38
71,56.74
72,58.75
73,58.33
74,56.15
75,58.72
76,57.37
77,56.89
78,60.63
79,57.8
80,57.93
81,60.76
82,61.31
83,57.72
84,59.91
85,60.06
86,58.44
87,57.39
88,57.46
89,58.65
90,57.74
91,58.98
92,59.57
93,58.35
94,59.82
95,57.44
96,60.0
97,59.95
98,61.13
99,61.05
100,59.79
