Round,Accuracy
1,18.15
2,56.67
3,62.91
4,65.1
5,66.74
6,67.03
7,67.56
8,67.68
9,67.44
10,67.65
11,68.11
12,68.69
13,67.74
14,68.77
15,67.91
16,68.66
17,69.01
18,69.43
19,68.74
20,69.0
21,69.3
22,69.69
23,69.87
24,69.64
25,69.36
26,69.7
27,69.74
28,69.65
29,69.83
30,69.67
31,69.14
32,69.77
33,69.52
34,69.99
35,69.49
36,69.92
37,70.13
38,69.91
39,70.57
40,70.25
41,70.87
42,70.16
43,70.43
44,70.68
45,70.59
46,70.71
47,71.12
48,70.71
49,71.39
50,71.34
