Round,Accuracy
1,16.18
2,21.99
3,27.27
4,35.0
5,37.51
6,34.76
7,37.05
8,39.73
9,37.35
10,38.72
11,39.14
12,40.43
13,42.45
14,43.94
15,42.73
16,43.96
17,43.04
18,40.85
19,43.24
20,47.31
21,45.54
22,46.94
23,45.72
24,46.69
25,47.84
26,48.46
27,49.18
28,53.45
29,49.98
30,52.52
31,49.11
32,53.59
33,53.39
34,52.12
35,53.82
36,52.91
37,54.28
38,52.79
39,54.5
40,54.36
41,55.84
42,55.23
43,54.05
44,56.46
45,54.23
46,55.04
47,55.04
48,55.0
49,54.39
50,57.93
