Round,Accuracy
1,18.13
2,43.25
3,45.9
4,54.93
5,54.12
6,55.44
7,55.56
8,53.42
9,56.39
10,53.17
11,57.99
12,53.65
13,56.75
14,51.88
15,56.44
16,57.91
17,56.98
18,58.72
19,59.07
20,56.41
21,59.14
22,60.96
23,59.57
24,59.03
25,58.85
26,60.5
27,58.19
28,58.1
29,59.4
30,62.28
31,60.8
32,62.07
33,60.57
34,59.53
35,61.92
36,62.76
37,59.09
38,62.82
39,61.54
40,62.66
41,61.41
42,63.09
43,60.54
44,63.7
45,63.11
46,64.19
47,60.17
48,63.81
49,64.05
50,64.35
