Round,Accuracy
1,16.38
2,28.3
3,32.25
4,39.43
5,41.12
6,37.08
7,40.86
8,43.67
9,42.05
10,41.34
11,44.13
12,45.82
13,45.2
14,46.45
15,45.31
16,46.8
17,48.79
18,47.97
19,48.45
20,46.83
21,51.05
22,49.67
23,52.02
24,47.97
25,49.44
26,52.48
27,51.32
28,52.53
29,53.45
30,52.81
31,52.06
32,54.71
33,52.42
34,55.11
35,53.07
36,53.95
37,53.87
38,53.51
39,52.74
40,55.04
41,55.38
42,50.88
43,55.12
44,55.94
45,54.84
46,53.19
47,52.26
48,55.7
49,55.28
50,56.37
