Round,Accuracy
1,15.52
2,39.38
3,45.84
4,52.99
5,53.81
6,56.93
7,57.55
8,57.16
9,60.47
10,59.15
11,59.44
12,59.48
13,59.05
14,61.97
15,59.78
16,59.9
17,61.81
18,60.55
19,61.1
20,61.69
21,64.55
22,63.02
23,62.74
24,64.81
25,63.22
26,64.66
27,64.82
28,64.85
29,65.44
30,64.47
31,63.92
32,64.32
33,65.37
34,65.09
35,64.58
36,65.61
37,65.66
38,64.46
39,63.88
40,65.31
41,65.94
42,66.4
43,66.45
44,66.36
45,66.02
46,66.81
47,65.4
48,65.51
49,64.52
50,67.17
