Round,Accuracy
1,18.54
2,30.42
3,36.22
4,39.73
5,44.11
6,47.19
7,47.92
8,49.58
9,49.19
10,48.87
11,48.12
12,43.05
13,47.48
14,51.26
15,51.33
16,51.13
17,49.88
18,50.16
19,53.27
20,53.26
21,51.05
22,50.18
23,48.64
24,50.25
25,51.69
26,49.31
27,51.94
28,50.48
29,51.61
30,55.31
31,52.83
32,50.2
33,51.61
34,53.54
35,52.09
36,54.51
37,53.95
38,52.56
39,51.01
40,52.25
41,49.97
42,56.27
43,53.51
44,54.42
45,53.38
46,51.6
47,55.3
48,52.92
49,55.11
50,57.1
51,57.71
52,60.42
53,56.74
54,51.0
55,56.87
56,54.07
57,57.59
58,57.26
59,55.71
60,58.11
61,55.84
62,57.93
63,51.42
64,54.85
65,55.46
66,57.79
67,58.04
68,58.8
69,59.54
70,58.64
71,58.61
72,58.79
73,58.24
74,56.82
75,59.71
76,60.41
77,60.08
78,59.91
79,58.89
80,61.21
81,58.32
82,59.04
83,60.02
84,60.22
85,59.04
86,60.35
87,59.79
88,60.65
89,61.33
90,59.49
91,60.83
92,61.84
93,61.2
94,60.65
95,59.97
96,60.39
97,61.74
98,61.84
99,60.29
100,62.26
