Round,Accuracy
1,16.94
2,31.84
3,46.45
4,48.18
5,55.8
6,59.42
7,59.68
8,60.81
9,62.74
10,63.18
11,63.1
12,63.96
13,63.79
14,64.17
15,65.18
16,64.72
17,63.3
18,63.69
19,64.76
20,65.73
21,65.76
22,63.56
23,66.01
24,65.8
25,66.34
26,65.48
27,65.34
28,64.61
29,66.08
30,65.09
31,65.03
32,65.6
33,66.35
34,66.52
35,66.66
36,65.62
37,66.55
38,67.02
39,66.92
40,64.95
41,66.94
42,67.39
43,65.78
44,68.41
45,68.42
46,67.25
47,65.04
48,64.79
49,67.83
50,67.02
51,67.85
52,67.96
53,65.85
54,67.38
55,67.83
56,67.25
57,67.89
58,67.71
59,69.31
60,69.66
61,66.5
62,69.01
63,68.11
64,68.87
65,68.71
66,68.42
67,69.88
68,68.21
69,69.12
70,66.85
71,67.81
72,69.27
73,67.95
74,68.57
75,68.21
76,69.69
77,69.66
78,67.5
79,69.88
80,70.09
81,69.94
82,69.71
83,68.06
84,67.59
85,67.88
86,69.31
87,69.65
88,68.79
89,68.4
90,69.45
91,69.59
92,69.54
93,69.16
94,68.79
95,70.15
96,69.65
97,68.23
98,69.73
99,70.11
100,69.33
