Round,Accuracy
1,10.5
2,29.94
3,39.29
4,43.54
5,46.54
6,48.76
7,50.92
8,53.29
9,54.13
10,56.8
11,57.29
12,59.49
13,59.62
14,60.16
15,61.76
16,61.93
17,62.72
18,63.42
19,63.69
20,64.58
21,64.13
22,64.27
23,64.23
24,65.54
25,65.68
26,65.37
27,66.55
28,65.98
29,64.78
30,66.45
31,66.77
32,66.78
33,66.04
34,66.97
35,67.0
36,67.59
37,67.92
38,68.16
39,66.09
40,67.75
41,68.1
42,68.1
43,68.14
44,67.51
45,67.57
46,67.82
47,68.43
48,68.02
49,68.37
50,69.05
