Round,Accuracy
1,12.29
2,27.27
3,31.85
4,30.87
5,36.34
6,37.46
7,37.99
8,38.77
9,39.85
10,41.67
11,42.51
12,44.11
13,44.22
14,43.04
15,43.68
16,46.74
17,46.78
18,46.53
19,43.69
20,48.5
21,47.07
22,44.65
23,47.07
24,49.52
25,48.98
26,47.31
27,47.02
28,47.08
29,50.95
30,46.8
31,49.74
32,49.5
33,51.76
34,48.77
35,50.62
36,53.71
37,50.63
38,52.53
39,48.3
40,53.34
41,54.13
42,52.87
43,52.35
44,52.74
45,48.63
46,54.85
47,51.32
48,51.51
49,56.09
50,55.44
