Round,Accuracy
1,11.9
2,30.97
3,35.8
4,41.39
5,42.64
6,45.93
7,47.94
8,49.19
9,50.81
10,53.56
11,52.4
12,55.38
13,55.73
14,56.51
15,57.43
16,58.12
17,58.09
18,59.59
19,59.71
20,59.34
21,60.75
22,59.03
23,61.19
24,62.49
25,61.53
26,62.45
27,60.69
28,62.02
29,63.14
30,62.33
31,63.24
32,63.3
33,63.43
34,63.34
35,63.12
36,64.01
37,64.44
38,64.56
39,64.17
40,63.68
41,64.34
42,64.74
43,64.6
44,65.28
45,65.24
46,65.06
47,64.31
48,64.48
49,65.29
50,65.45
