Round,Accuracy
1,20.57
2,54.78
3,60.42
4,62.54
5,63.2
6,63.08
7,63.76
8,64.22
9,63.64
10,63.42
11,63.95
12,63.68
13,63.66
14,64.13
15,64.33
16,64.68
17,65.13
18,64.81
19,64.87
20,65.18
21,65.57
22,65.87
23,64.64
24,65.15
25,64.63
26,65.28
27,64.91
28,64.98
29,65.65
30,64.71
31,64.67
32,64.99
33,65.42
34,65.86
35,65.67
36,64.87
37,65.89
38,65.98
39,65.44
40,65.5
41,65.46
42,66.26
43,65.58
44,64.6
45,65.2
46,66.02
47,65.97
48,66.46
49,65.73
50,65.73
