Round,Accuracy
1,15.27
2,27.54
3,34.35
4,33.79
5,36.71
6,36.06
7,39.8
8,39.52
9,39.5
10,45.31
11,45.55
12,46.12
13,45.84
14,45.7
15,44.59
16,46.09
17,47.49
18,47.27
19,48.46
20,45.71
21,50.33
22,47.56
23,47.18
24,48.01
25,48.16
26,50.45
27,48.09
28,50.26
29,50.01
30,51.71
31,50.68
32,49.17
33,49.53
34,47.4
35,51.95
36,54.29
37,51.22
38,52.4
39,48.63
40,51.73
41,52.14
42,48.34
43,51.16
44,53.93
45,53.3
46,54.47
47,51.65
48,51.68
49,52.32
50,52.12
