Round,Accuracy
1,14.68
2,22.92
3,25.48
4,28.53
5,33.72
6,41.6
7,47.73
8,45.47
9,48.06
10,46.83
11,51.48
12,50.03
13,51.61
14,53.11
15,51.72
16,50.94
17,53.23
18,55.54
19,54.41
20,53.8
21,55.9
22,55.14
23,55.23
24,56.9
25,55.85
26,58.01
27,55.53
28,58.15
29,59.83
30,58.0
31,56.7
32,56.36
33,59.89
34,59.34
35,59.5
36,58.58
37,59.69
38,60.93
39,60.17
40,60.71
41,61.14
42,60.62
43,61.57
44,61.58
45,62.18
46,63.11
47,61.94
48,61.31
49,62.75
50,63.27
