Round,Accuracy
1,14.76
2,31.83
3,28.72
4,36.59
5,38.29
6,37.72
7,39.51
8,40.07
9,36.98
10,40.03
11,41.44
12,43.66
13,42.24
14,39.71
15,41.89
16,44.27
17,45.4
18,43.85
19,44.26
20,43.72
21,43.53
22,46.06
23,45.42
24,47.05
25,46.18
26,44.87
27,48.37
28,45.92
29,48.15
30,47.17
31,47.43
32,49.45
33,50.2
34,48.83
35,48.24
36,52.4
37,50.34
38,51.81
39,51.72
40,52.18
41,53.09
42,51.94
43,51.82
44,55.35
45,52.91
46,53.65
47,52.71
48,53.17
49,53.59
50,54.97
