Round,Accuracy
1,16.53
2,41.79
3,49.06
4,54.15
5,54.38
6,59.21
7,60.54
8,61.81
9,61.25
10,63.98
11,65.48
12,63.26
13,63.38
14,63.64
15,63.73
16,65.63
17,65.9
18,64.54
19,64.82
20,65.2
21,64.97
22,66.29
23,66.44
24,66.56
25,66.11
26,66.24
27,66.81
28,67.13
29,66.03
30,67.11
31,66.56
32,67.07
33,68.34
34,68.58
35,68.08
36,67.73
37,68.29
38,67.73
39,67.98
40,67.56
41,67.93
42,68.22
43,68.2
44,67.41
45,69.08
46,69.14
47,68.73
48,68.44
49,68.74
50,69.13
