Round,Accuracy
1,16.65
2,37.81
3,49.38
4,52.91
5,56.14
6,58.69
7,59.79
8,59.88
9,60.62
10,61.41
11,61.09
12,62.11
13,60.6
14,62.84
15,62.92
16,63.83
17,62.17
18,62.36
19,62.22
20,63.82
21,62.57
22,62.9
23,65.15
24,64.18
25,63.21
26,63.75
27,63.08
28,65.31
29,65.66
30,65.59
31,65.72
32,65.08
33,64.4
34,66.67
35,64.1
36,64.61
37,65.02
38,65.54
39,65.24
40,65.73
41,64.51
42,65.97
43,64.43
44,66.58
45,66.17
46,65.24
47,62.22
48,67.22
49,67.71
50,66.46
