Round,Accuracy
1,16.65
2,37.89
3,44.25
4,51.16
5,51.49
6,57.45
7,60.07
8,58.96
9,59.19
10,61.45
11,58.03
12,63.05
13,60.92
14,59.84
15,62.04
16,60.95
17,60.15
18,60.85
19,61.33
20,63.16
21,63.22
22,65.07
23,63.48
24,64.51
25,64.35
26,65.43
27,64.59
28,64.69
29,64.4
30,66.31
31,64.42
32,65.23
33,62.79
34,65.22
35,65.84
36,65.0
37,65.13
38,64.44
39,65.78
40,65.7
41,68.36
42,64.9
43,67.15
44,65.74
45,66.48
46,66.63
47,67.9
48,67.76
49,65.34
50,66.47
