Round,Accuracy
1,18.15
2,46.69
3,56.28
4,63.49
5,65.08
6,66.32
7,67.03
8,66.97
9,68.16
10,69.04
11,68.81
12,69.16
13,71.54
14,69.64
15,71.49
16,70.31
17,71.26
18,69.37
19,71.84
20,69.48
21,70.05
22,70.45
23,70.44
24,71.48
25,71.74
26,71.75
27,71.27
28,71.73
29,71.73
30,71.23
31,72.62
32,71.16
33,72.61
34,70.45
35,72.75
36,72.9
37,72.65
38,72.92
39,72.36
40,72.26
41,72.65
42,72.1
43,73.76
44,72.98
45,73.24
46,72.93
47,73.21
48,73.27
49,73.49
50,73.03
51,73.38
52,73.85
53,73.19
54,72.88
55,73.5
56,73.67
57,73.57
58,73.65
59,73.73
60,73.03
61,73.67
62,73.49
63,74.26
64,73.87
65,73.72
66,73.47
67,74.46
68,73.55
69,73.72
70,73.45
71,74.62
72,73.84
73,73.91
74,73.47
75,73.43
76,73.1
77,73.25
78,74.13
79,73.52
80,73.99
81,74.44
82,74.64
83,74.03
84,73.65
85,73.7
86,74.03
87,73.71
88,74.08
89,74.3
90,75.14
91,74.45
92,73.73
93,74.55
94,74.92
95,74.26
96,74.93
97,74.25
98,74.49
99,73.41
100,75.21
